Time	Steps	FPS	Score	Episode Length
 07h 31m 49s	9095128	335	  -10.0	20615
 07h 37m 18s	9203849	335	  -8.0	21479
 07h 41m 46s	9294309	335	  -12.0	17093
 07h 45m 48s	9375969	335	  12.0	14955
 07h 51m 09s	9482640	335	  3.0	20805
 07h 59m 11s	9643585	335	  -4.0	34568
 08h 02m 44s	9715572	335	  18.0	12519
 08h 20m 34s	10070956	335	  -1.0	79008
 08h 22m 26s	10108373	335	  -21.0	3056
 08h 24m 12s	10144839	335	  -21.0	3056
 08h 25m 51s	10178939	335	  -21.0	3056
 08h 27m 28s	10212390	335	  -21.0	3056
 08h 29m 04s	10245594	335	  -21.0	3056
 08h 30m 42s	10279119	335	  -21.0	3056
 08h 32m 19s	10312585	335	  -21.0	3056
 08h 33m 57s	10345907	335	  -21.0	3056
 08h 36m 50s	10403224	335	  -15.0	8915
 08h 44m 23s	10555515	335	  6.0	32600
 08h 49m 53s	10665936	335	  -18.0	22102
 08h 56m 46s	10803771	335	  14.0	28876
