Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.32643723487854	0	19.461538	8.289153	61.0	9.0	19.46153846153846	8.289153103399505	1012	1012
5.891317129135132	1	28.027779	13.423623	64.0	12.0	28.02777777777778	13.423623685112235	1009	2021
8.749389171600342	2	42.576923	27.895649	140.0	13.0	42.57692307692308	27.895647684958195	1107	3128
11.172631025314331	3	31.484848	18.297411	113.0	13.0	31.484848484848484	18.297410335264473	1039	4167
13.86257791519165	4	25.948717	8.80253	60.0	14.0	25.94871794871795	8.802530865517927	1012	5179
16.208745002746582	5	25.871796	8.124605	57.0	16.0	25.871794871794872	8.124604880899929	1009	6188
18.54904294013977	6	22.152174	5.6835666	42.0	13.0	22.152173913043477	5.683566666866042	1019	7207
20.809794187545776	7	18.666666	4.59065	30.0	11.0	18.666666666666668	4.590650724469688	1008	8215
23.19681215286255	8	16.142857	3.7579846	26.0	10.0	16.142857142857142	3.7579846965616874	1017	9232
25.390482187271118	9	14.8970585	2.9711342	22.0	8.0	14.897058823529411	2.9711341956068726	1013	10245
27.507328033447266	10	13.6081085	1.9646716	19.0	10.0	13.608108108108109	1.964671539617477	1007	11252
29.778558015823364	11	12.897436	1.9453412	17.0	8.0	12.897435897435898	1.9453412039375033	1006	12258
32.04618716239929	12	12.961538	1.9964219	18.0	9.0	12.961538461538462	1.996421848517657	1011	13269
34.296921253204346	13	12.822784	2.1154015	19.0	9.0	12.822784810126583	2.1154015908101655	1013	14282
36.74788999557495	14	12.096386	1.7048087	18.0	9.0	12.096385542168674	1.7048086337953772	1004	15286
39.04519200325012	15	12.059524	1.6857328	16.0	9.0	12.05952380952381	1.6857327817118193	1013	16299
41.25992226600647	16	10.880435	1.2497164	14.0	9.0	10.880434782608695	1.2497164139563461	1001	17300
43.53868103027344	17	10.53125	1.2825197	14.0	8.0	10.53125	1.282519696080077	1011	18311
45.93945026397705	18	9.930693	0.93615425	12.0	8.0	9.930693069306932	0.9361541903820049	1003	19314
48.48704719543457	19	9.990099	1.0670125	13.0	8.0	9.990099009900991	1.067012573394146	1009	20323
50.80242109298706	20	9.6	0.9719887	12.0	8.0	9.6	0.9719886340703294	1008	21331
53.10444498062134	21	9.813725	0.9153419	12.0	8.0	9.813725490196079	0.9153419178673903	1001	22332
55.57498121261597	22	9.401869	0.759486	11.0	8.0	9.401869158878505	0.7594859683704689	1006	23338
58.50514197349548	23	9.561905	0.92503595	12.0	8.0	9.561904761904762	0.9250360046924251	1004	24342
60.90760397911072	24	9.5	0.9737111	12.0	8.0	9.5	0.9737110493093779	1007	25349
63.51335906982422	25	9.673077	0.9946232	12.0	8.0	9.673076923076923	0.9946231185373655	1006	26355
66.27412104606628	26	9.892157	0.86213213	11.0	8.0	9.892156862745098	0.8621321351923579	1009	27364
68.7326672077179	27	10.04	0.9991996	13.0	8.0	10.04	0.9991996797437436	1004	28368
71.0626790523529	28	10.191919	1.0217509	13.0	9.0	10.191919191919192	1.0217509993051952	1009	29377
73.39390897750854	29	10.171718	1.0640157	13.0	9.0	10.171717171717171	1.0640156834152479	1007	30384
76.33653616905212	30	10.510417	1.1546535	13.0	8.0	10.510416666666666	1.1546535525381147	1009	31393
78.72601389884949	31	10.360825	1.1681826	13.0	8.0	10.360824742268042	1.1681827195229109	1005	32398
81.46508693695068	32	10.568421	1.1392761	13.0	9.0	10.56842105263158	1.1392761467283319	1004	33402
84.32454109191895	33	10.83871	1.272457	13.0	8.0	10.838709677419354	1.272456962794582	1008	34410
87.2719931602478	34	11.0	1.4972503	14.0	8.0	11.0	1.4972502268352614	1001	35411
89.55131602287292	35	11.375	1.4326746	15.0	9.0	11.375	1.4326747077343895	1001	36412
91.82838416099548	36	11.964286	1.5994526	15.0	9.0	11.964285714285714	1.5994524998635402	1005	37417
94.25530910491943	37	12.6	1.4966631	16.0	10.0	12.6	1.4966629547095764	1008	38425
96.73200511932373	38	13.662162	1.8474016	17.0	10.0	13.662162162162161	1.847401586648686	1011	39436
98.99969410896301	39	14.867647	1.9992968	19.0	11.0	14.867647058823529	1.9992970217841268	1011	40447
101.26704001426697	40	16.35484	2.3629997	21.0	12.0	16.35483870967742	2.3629995576532177	1014	41461
103.84241104125977	41	17.631578	3.2261627	26.0	13.0	17.63157894736842	3.226162670588798	1005	42466
106.15458726882935	42	19.784313	3.101636	29.0	15.0	19.784313725490197	3.101636035651951	1009	43475
108.93585801124573	43	23.860466	4.1795816	32.0	16.0	23.86046511627907	4.179581571072425	1026	44501
111.76187324523926	44	29.457144	6.3576403	45.0	19.0	29.457142857142856	6.357640429965719	1031	45532
114.09911918640137	45	37.814816	8.402102	54.0	20.0	37.81481481481482	8.402103074636585	1021	46553
116.2940878868103	46	51.85	19.60172	116.0	27.0	51.85	19.601721863142537	1037	47590
118.54449319839478	47	62.5625	20.454123	102.0	37.0	62.5625	20.454121681216233	1001	48591
121.0574152469635	48	57.11111	11.948449	83.0	38.0	57.111111111111114	11.948448941128946	1028	49619
123.70636320114136	49	61.294117	24.501535	118.0	28.0	61.294117647058826	24.501535860340898	1042	50661
126.19702816009521	50	59.5	19.32543	88.0	32.0	59.5	19.325429418831092	1071	51732
128.81758308410645	51	52.3	23.030632	137.0	29.0	52.3	23.030631775963073	1046	52778
131.89226818084717	52	39.53846	8.953859	62.0	26.0	39.53846153846154	8.953859370859925	1028	53806
134.4018681049347	53	38.48148	10.141117	60.0	21.0	38.48148148148148	10.14111678549579	1039	54845
