Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.4397170543670654	0	5.4012947	2.9348772	29.0	2.0	5.401294498381877	2.9348772133415606	5007	5007
5.937828063964844	1	11.124444	7.5382037	44.0	3.0	11.124444444444444	7.538203604324237	5006	10013
8.09500503540039	2	18.886793	11.590595	63.0	2.0	18.88679245283019	11.590595370057393	5005	15018
10.242830038070679	3	18.119133	11.045536	76.0	3.0	18.119133574007222	11.045535647177122	5019	20037
12.378026962280273	4	17.9319	10.528968	57.0	3.0	17.93189964157706	10.52896773783341	5003	25040
14.314550876617432	5	15.851266	10.348365	67.0	3.0	15.85126582278481	10.348364007812973	5009	30049
16.303157091140747	6	15.990416	9.748428	81.0	2.0	15.99041533546326	9.74842843826608	5005	35054
18.227155208587646	7	17.061224	10.082803	75.0	4.0	17.06122448979592	10.08280309380858	5016	40070
20.13504910469055	8	22.777273	14.013319	88.0	5.0	22.777272727272727	14.013319372465281	5011	45081
22.13303303718567	9	28.670454	18.684717	108.0	5.0	28.670454545454547	18.68471761950555	5046	50127
24.20597791671753	10	28.271187	17.526249	99.0	5.0	28.271186440677965	17.52624876485267	5004	55131
26.414822101593018	11	36.583942	22.104477	114.0	5.0	36.583941605839414	22.1044773136679	5012	60143
28.459102153778076	12	38.53846	22.216816	132.0	3.0	38.53846153846154	22.216817554468072	5010	65153
30.595539093017578	13	34.29452	23.750751	104.0	3.0	34.294520547945204	23.750751338719525	5007	70160
32.91247510910034	14	47.52778	34.222977	154.0	4.0	47.52777777777778	34.22297753495486	5133	75293
35.074000120162964	15	46.38889	30.894035	181.0	7.0	46.388888888888886	30.894034343618692	5010	80303
37.31177520751953	16	54.333332	36.64545	212.0	8.0	54.333333333333336	36.64544840616483	5053	85356
39.5423378944397	17	61.02439	35.666126	168.0	5.0	61.02439024390244	35.6661264486026	5004	90360
41.82420301437378	18	76.666664	50.604626	223.0	5.0	76.66666666666667	50.604627089113926	5060	95420
44.04149103164673	19	86.745766	57.13902	272.0	7.0	86.7457627118644	57.13901965199571	5118	100538
46.133803844451904	20	91.05454	53.379745	252.0	9.0	91.05454545454545	53.37974358118806	5008	105546
48.389962911605835	21	93.64815	83.121544	565.0	8.0	93.64814814814815	83.12154362792576	5057	110603
50.6886420249939	22	96.92308	71.47399	350.0	9.0	96.92307692307692	71.47399907923649	5040	115643
52.83637595176697	23	102.5102	61.72689	265.0	9.0	102.51020408163265	61.72689105689827	5023	120666
55.21195721626282	24	223.0	115.659706	506.0	18.0	223.0	115.65970199973138	5352	126018
57.33777594566345	25	214.04167	99.85843	407.0	34.0	214.04166666666666	99.85843277972182	5137	131155
59.63805413246155	26	228.54546	76.963234	398.0	81.0	228.54545454545453	76.9632304608844	5028	136183
61.855743169784546	27	377.85715	318.3762	1000.0	26.0	377.85714285714283	318.37620539742807	5290	141473
64.00814199447632	28	386.69232	284.3977	1000.0	51.0	386.6923076923077	284.39771302103964	5027	146500
66.40950322151184	29	561.6	335.2883	1000.0	75.0	561.6	335.2882938606715	5616	152116
68.55950403213501	30	608.55554	354.59653	1000.0	25.0	608.5555555555555	354.59651910026514	5477	157593
70.82576298713684	31	726.25	362.06967	1000.0	90.0	726.25	362.0696583531959	5810	163403
73.26639199256897	32	749.25	269.68488	1000.0	135.0	749.25	269.6848855609079	5994	169397
75.39009022712708	33	880.5	267.2101	1000.0	283.0	880.5	267.2101233112249	5283	174680
78.154305934906	34	855.4286	262.64963	1000.0	252.0	855.4285714285714	262.64960751261486	5988	180668
80.59961795806885	35	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	186668
82.97763228416443	36	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	192668
85.31414794921875	37	896.0	232.55107	1000.0	376.0	896.0	232.55106965997814	5376	198044
87.98480820655823	38	835.7143	313.68854	1000.0	96.0	835.7142857142857	313.68852353237014	5850	203894
90.47101497650146	39	943.0	127.45587	1000.0	658.0	943.0	127.45587471748802	5658	209552
93.061044216156	40	818.8571	296.02676	1000.0	226.0	818.8571428571429	296.02675003231354	5732	215284
95.30265307426453	41	859.1667	247.16148	1000.0	324.0	859.1666666666666	247.16149691154476	5155	220439
97.67525601387024	42	677.75	331.41693	1000.0	79.0	677.75	331.41693906618593	5422	225861
100.0125641822815	43	887.3333	251.93033	1000.0	324.0	887.3333333333334	251.93032546497628	5324	231185
102.89703893661499	44	747.75	302.13107	1000.0	165.0	747.75	302.1310766869241	5982	237167
105.64715313911438	45	609.6667	438.10504	1000.0	62.0	609.6666666666666	438.1050102429782	5487	242654
108.44008994102478	46	651.2222	425.2601	1000.0	62.0	651.2222222222222	425.2601237354687	5861	248515
110.92862915992737	47	594.0	445.66678	1000.0	60.0	594.0	445.66679132384195	5346	253861
113.46496605873108	48	330.72223	416.26376	1000.0	52.0	330.72222222222223	416.26377929219024	5953	259814
115.89798998832703	49	650.125	451.7135	1000.0	59.0	650.125	451.71352578265794	5201	265015
119.10569095611572	50	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	271015
121.70653986930847	51	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	277015
124.20081305503845	52	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	283015
126.64189314842224	53	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	289015
128.910649061203	54	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	295015
131.10615491867065	55	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	301015
133.72292304039001	56	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	307015
136.2090940475464	57	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	313015
138.60349822044373	58	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	319015
141.2899911403656	59	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	325015
143.7458620071411	60	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	331015
146.22359323501587	61	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	337015
148.8498411178589	62	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	343015
151.95666909217834	63	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	349015
155.07342505455017	64	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	355015
157.80138111114502	65	848.3333	325.03622	1000.0	122.0	848.3333333333334	325.0362372960214	5090	360105
160.78593015670776	66	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	366105
163.69691514968872	67	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	372105
165.86937403678894	68	833.6667	371.93265	1000.0	2.0	833.6666666666666	371.93264025746504	5002	377107
168.63429594039917	69	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	383107
170.8107180595398	70	834.5	370.06924	1000.0	7.0	834.5	370.0692502762152	5007	388114
173.00213313102722	71	379.64285	463.0009	1000.0	2.0	379.64285714285717	463.00086503203016	5315	393429
175.31605100631714	72	46.803738	79.73232	847.0	2.0	46.80373831775701	79.73231374533076	5008	398437
177.54366087913513	73	209.91667	353.6918	1000.0	5.0	209.91666666666666	353.69182874675266	5038	403475
180.5105791091919	74	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	409475
183.6071319580078	75	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	415475
186.28871417045593	76	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	421475
189.17810606956482	77	963.0	82.73451	1000.0	778.0	963.0	82.73451516749222	5778	427253
192.0432469844818	78	976.3333	52.920277	1000.0	858.0	976.3333333333334	52.92027546749502	5858	433111
194.9144389629364	79	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	439111
