Timestamp: 2019-05-25 23:03:26, Steps: 1043040, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:03:50, Steps: 1057344, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:04:15, Steps: 1071648, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:04:38, Steps: 1085440, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:05:11, Steps: 1104672, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:05:32, Steps: 1117328, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:05:57, Steps: 1131920, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:06:21, Steps: 1146048, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:06:46, Steps: 1160480, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:07:08, Steps: 1173408, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:07:32, Steps: 1187648, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:07:54, Steps: 1200752, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:08:20, Steps: 1215840, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:08:47, Steps: 1231600, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:09:10, Steps: 1245024, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:09:34, Steps: 1258544, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:09:58, Steps: 1273184, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:10:21, Steps: 1286688, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:10:45, Steps: 1300128, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:11:05, Steps: 1312208, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:11:31, Steps: 1327680, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:11:55, Steps: 1342048, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:12:26, Steps: 1359552, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 23:12:55, Steps: 1376320, Score env: -18.0, Env no.: 1
Timestamp: 2019-05-25 23:13:17, Steps: 1389168, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:13:39, Steps: 1402304, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:14:03, Steps: 1415936, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:14:24, Steps: 1428496, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:14:46, Steps: 1440960, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:15:09, Steps: 1454768, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:15:31, Steps: 1467296, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:15:51, Steps: 1479408, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:16:13, Steps: 1492736, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:16:36, Steps: 1505856, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:17:11, Steps: 1526224, Score env: -18.0, Env no.: 1
Timestamp: 2019-05-25 23:17:39, Steps: 1542544, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:18:05, Steps: 1558096, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:18:29, Steps: 1572288, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:18:58, Steps: 1589056, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 23:19:24, Steps: 1604752, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:19:52, Steps: 1621120, Score env: -18.0, Env no.: 1
Timestamp: 2019-05-25 23:20:20, Steps: 1636928, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 23:20:42, Steps: 1649984, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:21:06, Steps: 1664064, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:21:30, Steps: 1678304, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:21:54, Steps: 1692656, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:22:25, Steps: 1710848, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:22:48, Steps: 1723952, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:23:12, Steps: 1738256, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:23:36, Steps: 1752336, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:23:58, Steps: 1765408, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:24:24, Steps: 1780640, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:24:49, Steps: 1795248, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:25:14, Steps: 1810048, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:25:40, Steps: 1825344, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:26:04, Steps: 1838848, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:26:28, Steps: 1853232, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:26:55, Steps: 1869600, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:27:18, Steps: 1882992, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:27:41, Steps: 1896560, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:28:07, Steps: 1911584, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:28:39, Steps: 1930688, Score env: -18.0, Env no.: 1
Timestamp: 2019-05-25 23:29:03, Steps: 1944224, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:29:28, Steps: 1959216, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:29:54, Steps: 1974720, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 23:30:24, Steps: 1992448, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:30:46, Steps: 2005504, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:31:15, Steps: 2022528, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:31:44, Steps: 2039296, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 23:32:09, Steps: 2053632, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:32:33, Steps: 2067456, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:33:01, Steps: 2084032, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:33:25, Steps: 2098592, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:34:02, Steps: 2120400, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:34:25, Steps: 2134000, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:34:47, Steps: 2147088, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:35:14, Steps: 2162448, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:35:41, Steps: 2178784, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 23:36:02, Steps: 2191360, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:36:29, Steps: 2207440, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:36:56, Steps: 2223344, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:37:20, Steps: 2237456, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:37:44, Steps: 2251424, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:38:13, Steps: 2268608, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:38:38, Steps: 2282496, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:39:07, Steps: 2299696, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:39:29, Steps: 2312784, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:39:50, Steps: 2324880, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:40:13, Steps: 2338864, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:40:38, Steps: 2353792, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:41:01, Steps: 2367056, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:41:25, Steps: 2381456, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:41:51, Steps: 2396688, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:42:16, Steps: 2411984, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 23:42:41, Steps: 2425664, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:43:07, Steps: 2441360, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:43:31, Steps: 2455904, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:43:59, Steps: 2472448, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:44:30, Steps: 2490320, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:44:58, Steps: 2506864, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 23:45:24, Steps: 2521904, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:45:49, Steps: 2537392, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:46:17, Steps: 2554080, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:46:47, Steps: 2571536, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:47:13, Steps: 2586624, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:47:43, Steps: 2604352, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 23:48:08, Steps: 2619136, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:48:37, Steps: 2636048, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:49:00, Steps: 2650128, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:49:23, Steps: 2663488, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:49:50, Steps: 2679408, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:50:23, Steps: 2698688, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 23:50:49, Steps: 2714480, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 23:51:18, Steps: 2731264, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:51:40, Steps: 2744416, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:52:10, Steps: 2762208, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:52:36, Steps: 2777680, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:52:59, Steps: 2791168, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:53:26, Steps: 2806720, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 23:53:52, Steps: 2821776, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:54:20, Steps: 2838832, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 23:54:42, Steps: 2851392, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:55:11, Steps: 2868688, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:55:35, Steps: 2882720, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:55:58, Steps: 2896224, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:56:35, Steps: 2917968, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 23:56:59, Steps: 2932048, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:57:24, Steps: 2947056, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:57:52, Steps: 2963872, Score env: -18.0, Env no.: 1
Timestamp: 2019-05-25 23:58:15, Steps: 2976896, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 23:58:38, Steps: 2990816, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:59:05, Steps: 3006928, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 23:59:28, Steps: 3020256, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 23:59:55, Steps: 3036576, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-26 00:00:24, Steps: 3053168, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:00:51, Steps: 3069488, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-26 00:01:19, Steps: 3085632, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:01:49, Steps: 3103328, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:02:12, Steps: 3116720, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:02:37, Steps: 3131728, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:03:06, Steps: 3148224, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:03:31, Steps: 3163344, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:04:00, Steps: 3180592, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:04:24, Steps: 3194576, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:04:48, Steps: 3208384, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:05:13, Steps: 3223568, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:05:36, Steps: 3237296, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:06:02, Steps: 3252128, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:06:27, Steps: 3267232, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:06:51, Steps: 3281056, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:07:16, Steps: 3295888, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:07:44, Steps: 3312352, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:08:06, Steps: 3324928, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:08:29, Steps: 3339024, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:08:54, Steps: 3353424, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:09:20, Steps: 3368688, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:09:47, Steps: 3384592, Score env: -18.0, Env no.: 1
Timestamp: 2019-05-26 00:10:12, Steps: 3399504, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-26 00:10:37, Steps: 3414016, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:11:01, Steps: 3428064, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:11:23, Steps: 3441120, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:11:51, Steps: 3458272, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:12:21, Steps: 3475440, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:12:44, Steps: 3489056, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:13:07, Steps: 3502496, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:13:39, Steps: 3521120, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-26 00:14:09, Steps: 3539072, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:14:30, Steps: 3551472, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:14:55, Steps: 3565648, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:15:29, Steps: 3585008, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-26 00:15:55, Steps: 3600512, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-26 00:16:20, Steps: 3615744, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:16:48, Steps: 3631680, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:17:15, Steps: 3647776, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-26 00:17:38, Steps: 3661568, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:18:02, Steps: 3675648, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:18:26, Steps: 3689584, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:18:52, Steps: 3704448, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:19:14, Steps: 3717568, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:19:39, Steps: 3732352, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:20:02, Steps: 3745872, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:20:30, Steps: 3762288, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-26 00:20:54, Steps: 3776608, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:21:22, Steps: 3793312, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:21:51, Steps: 3808448, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:22:26, Steps: 3827344, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:22:53, Steps: 3843376, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:23:19, Steps: 3858432, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:23:51, Steps: 3877568, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:24:18, Steps: 3893312, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:24:43, Steps: 3907632, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:25:16, Steps: 3926896, Score env: -18.0, Env no.: 1
Timestamp: 2019-05-26 00:25:43, Steps: 3943152, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:26:09, Steps: 3957984, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:26:34, Steps: 3972432, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:27:01, Steps: 3988112, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:27:34, Steps: 4007232, Score env: -17.0, Env no.: 1
Timestamp: 2019-05-26 00:28:09, Steps: 4027696, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:28:40, Steps: 4046016, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-26 00:29:12, Steps: 4064224, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:29:45, Steps: 4083904, Score env: -17.0, Env no.: 1
Timestamp: 2019-05-26 00:30:17, Steps: 4102016, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-26 00:30:44, Steps: 4117952, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:31:14, Steps: 4135760, Score env: -18.0, Env no.: 1
Timestamp: 2019-05-26 00:31:42, Steps: 4151968, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:32:08, Steps: 4166896, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:32:36, Steps: 4182496, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:33:06, Steps: 4200512, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:33:43, Steps: 4221424, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-26 00:34:08, Steps: 4235392, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:34:35, Steps: 4251152, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:35:06, Steps: 4268960, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-26 00:35:35, Steps: 4285824, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-26 00:36:00, Steps: 4300544, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:36:32, Steps: 4319104, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:37:08, Steps: 4339376, Score env: -17.0, Env no.: 1
Timestamp: 2019-05-26 00:37:35, Steps: 4355088, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:38:00, Steps: 4369392, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:38:37, Steps: 4390704, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:39:05, Steps: 4406592, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-26 00:39:37, Steps: 4424960, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:40:05, Steps: 4441360, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:40:43, Steps: 4463328, Score env: -16.0, Env no.: 1
Timestamp: 2019-05-26 00:41:08, Steps: 4478144, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:41:34, Steps: 4493168, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:41:59, Steps: 4507504, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-26 00:42:29, Steps: 4524960, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:43:07, Steps: 4546640, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-26 00:43:30, Steps: 4560736, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:44:06, Steps: 4580512, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-26 00:44:32, Steps: 4595344, Score env: -20.0, Env no.: 1
