Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.0982511043548584	0	23.25	11.640691	53.0	9.0	23.25	11.640690779252829	1023	1023
5.517541885375977	1	12.6125	4.060461	31.0	8.0	12.6125	4.060461026780088	1009	2032
7.880654811859131	2	10.131313	1.4045126	15.0	8.0	10.131313131313131	1.4045126740060876	1003	3035
10.138864994049072	3	9.692307	1.0476799	12.0	8.0	9.692307692307692	1.0476798824520182	1008	4043
11.9704749584198	4	9.634615	1.028981	15.0	8.0	9.634615384615385	1.0289809401285959	1002	5045
13.895564079284668	5	9.411215	0.7356512	11.0	8.0	9.411214953271028	0.735651164641287	1007	6052
16.06850790977478	6	9.443397	0.7657798	11.0	8.0	9.443396226415095	0.7657797688143653	1001	7053
18.32907795906067	7	9.411215	0.85328686	13.0	8.0	9.411214953271028	0.8532868942439871	1007	8060
20.568626880645752	8	9.462264	0.71604955	11.0	8.0	9.462264150943396	0.7160495437413557	1003	9063
22.75022602081299	9	9.305555	0.7632573	11.0	8.0	9.305555555555555	0.7632573146685604	1005	10068
25.035504817962646	10	9.296296	0.7729125	11.0	8.0	9.296296296296296	0.7729124723966372	1004	11072
27.227651834487915	11	9.373832	0.7301692	11.0	8.0	9.373831775700934	0.7301691583037238	1003	12075
29.52434206008911	12	9.324074	0.8695327	11.0	8.0	9.324074074074074	0.8695326938213092	1007	13082
31.823160886764526	13	9.277778	0.7432827	11.0	8.0	9.277777777777779	0.7432826755699806	1002	14084
34.1580548286438	14	9.266055	0.7619651	11.0	8.0	9.26605504587156	0.7619651300127014	1010	15094
36.88141894340515	15	9.401869	0.7216261	11.0	8.0	9.401869158878505	0.7216260595325592	1006	16100
39.17490100860596	16	9.229358	0.79716265	11.0	8.0	9.229357798165138	0.7971627154579249	1006	17106
41.19270086288452	17	9.383178	0.76908565	11.0	8.0	9.383177570093459	0.7690856303342425	1004	18110
43.43049693107605	18	9.238532	0.7154787	11.0	8.0	9.238532110091743	0.7154787012236785	1007	19117
45.86427688598633	19	9.324074	0.77970445	11.0	8.0	9.324074074074074	0.7797044039095805	1007	20124
48.26863217353821	20	9.411215	0.77282435	11.0	8.0	9.411214953271028	0.7728243024085242	1007	21131
50.56064319610596	21	9.383178	0.793017	11.0	8.0	9.383177570093459	0.7930169508634178	1004	22135
53.107982873916626	22	9.429907	0.7747432	11.0	8.0	9.429906542056075	0.774743243964961	1009	23144
55.8159601688385	23	9.401869	0.7216261	11.0	8.0	9.401869158878505	0.7216260595325592	1006	24150
58.509970903396606	24	9.333333	0.7934921	11.0	8.0	9.333333333333334	0.7934920476158723	1008	25158
61.06618285179138	25	9.351851	0.77357775	11.0	8.0	9.351851851851851	0.7735777249705712	1010	26168
63.58132791519165	26	9.268518	0.7888868	11.0	8.0	9.268518518518519	0.7888867153508572	1001	27169
66.0991280078888	27	9.383178	0.793017	11.0	8.0	9.383177570093459	0.7930169508634178	1004	28173
68.61238193511963	28	9.443397	0.7278838	11.0	8.0	9.443396226415095	0.7278838373947295	1001	29174
70.85486197471619	29	9.383178	0.74438536	11.0	8.0	9.383177570093459	0.7443853365136403	1004	30178
73.51917004585266	30	9.324074	0.7677372	11.0	8.0	9.324074074074074	0.7677372199896759	1007	31185
76.25743389129639	31	9.342592	0.6960476	11.0	8.0	9.342592592592593	0.6960475323945469	1009	32194
78.77057099342346	32	9.383178	0.69234616	11.0	8.0	9.383177570093459	0.6923461374748462	1004	33198
81.19541883468628	33	9.268518	0.7650524	11.0	8.0	9.268518518518519	0.7650524247527273	1001	34199
84.56921601295471	34	9.552381	0.75568897	11.0	8.0	9.552380952380952	0.755688930471519	1003	35202
87.0621440410614	35	9.229358	0.7971627	11.0	8.0	9.229357798165138	0.797162715457925	1006	36208
89.5884428024292	36	9.429907	0.6572691	11.0	8.0	9.429906542056075	0.6572691952342895	1009	37217
92.10232496261597	37	9.220183	0.77053297	11.0	8.0	9.220183486238533	0.7705329760952683	1005	38222
94.58407807350159	38	9.211009	0.7671392	11.0	8.0	9.211009174311927	0.7671392646006192	1004	39226
97.19883298873901	39	9.324074	0.7555805	11.0	8.0	9.324074074074074	0.7555805188323461	1007	40233
99.71784591674805	40	9.333333	0.793492	11.0	8.0	9.333333333333334	0.7934920476158722	1008	41241
102.14118885993958	41	9.287037	0.7582988	11.0	8.0	9.287037037037036	0.7582988505704107	1003	42244
104.6475100517273	42	9.411215	0.76063514	11.0	8.0	9.411214953271028	0.7606351382944226	1007	43251
107.41573596000671	43	9.420561	0.72392213	11.0	8.0	9.42056074766355	0.723922120786433	1008	44259
110.1772780418396	44	9.373832	0.76760787	11.0	8.0	9.373831775700934	0.7676078205002269	1003	45262
112.67066383361816	45	9.411215	0.7848242	11.0	8.0	9.411214953271028	0.7848241785127856	1007	46269
114.72353315353394	46	9.490566	0.7428309	11.0	8.0	9.49056603773585	0.7428309315105481	1006	47275
117.06980204582214	47	9.462264	0.80299586	11.0	8.0	9.462264150943396	0.8029959033459118	1003	48278
119.40377712249756	48	9.411215	0.74824744	11.0	8.0	9.411214953271028	0.7482474355606764	1007	49285
